"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isSubstitution","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717246,"2023-07-26",5,"2023-07-26T22:32:57.169Z","2023-07-26T22:33:01.272Z",TRUE,"pitch","59e6db91-fb5f-4c32-a77c-869209f83468",6,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",2,3,2,NA,NA,3.52,1.73,NA,114.3,189.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Trent Grisham strikes out on a foul tip.",0,3,2,68,"bottom",9,"2023-07-26T22:30:47.758Z","2023-07-26T22:33:01.272Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,663757,"Trent Grisham","/api/v1/people/663757","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Pittsburgh Pirates","true",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",79.1,72.7,8,0.89,0.4769,6.2046,22.5337,-37.0662,3.8921,-3.6639,0.0709,1.8297,3.3301,-115.1144,-0.4252,-1.9032,50.0048,5.6231,5.1928,8.4,12,24,2489,46,NA,NA,NA,NA,NA,NA,TRUE,-50.3,-6.5,-7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717246,"2023-07-26",4,"2023-07-26T22:32:27.415Z","2023-07-26T22:32:31.233Z",TRUE,"pitch","e9faf759-a944-48c7-842e-4f0a18af362b",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.52,1.73,NA,92.55,177.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Trent Grisham strikes out on a foul tip.",0,3,2,68,"bottom",9,"2023-07-26T22:30:47.758Z","2023-07-26T22:33:01.272Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,663757,"Trent Grisham","/api/v1/people/663757","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Pittsburgh Pirates","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",80,73.9,9,0.89,0.4701,6.3547,21.9002,-37.1518,3.0799,-3.6213,0.6414,2.2561,5.248,-116.5073,0.3865,-2.0405,50.0023,5.5993,4.2334,8.4,10.8,24,2588,61,NA,NA,NA,NA,NA,NA,FALSE,-48.8,-6.1,-6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717246,"2023-07-26",3,"2023-07-26T22:32:06.122Z","2023-07-26T22:32:10.117Z",TRUE,"pitch","12819049-858b-42bc-ac34-fb876c8083c2",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.503,1.5726,NA,87.77,143.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Trent Grisham strikes out on a foul tip.",0,3,2,68,"bottom",9,"2023-07-26T22:30:47.758Z","2023-07-26T22:33:01.272Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,663757,"Trent Grisham","/api/v1/people/663757","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Pittsburgh Pirates","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.1,89.4,3,0.88,0.3865,6.7649,29.6069,-14.1609,-5.54,8.8361,0.7669,3.5142,8.9023,-141.2717,-3.4729,-1.693,50.0032,5.6589,-11.2951,32.4,3.6,24,2496,212,NA,NA,NA,NA,NA,NA,FALSE,-13.3,15.6,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717246,"2023-07-26",2,"2023-07-26T22:31:42.054Z","2023-07-26T22:31:46.251Z",TRUE,"pitch","92cf37a7-ae3c-4909-b585-3c0683cb6057",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.4574,1.4579,NA,128.92,135.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Trent Grisham strikes out on a foul tip.",0,3,2,68,"bottom",9,"2023-07-26T22:30:47.758Z","2023-07-26T22:33:01.272Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,663757,"Trent Grisham","/api/v1/people/663757","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Pittsburgh Pirates","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.9,89.7,11,0.91,0.3837,6.6116,31.6503,-11.6808,-4.8695,9.9227,-0.3126,3.8215,6.3443,-142.5387,-3.3593,-1.9308,50.0007,5.7488,-10.0554,34.8,2.4,24,2538,208,NA,NA,NA,NA,NA,NA,FALSE,-10.9,17.5,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717246,"2023-07-26",1,"2023-07-26T22:31:18.983Z","2023-07-26T22:31:23.813Z",TRUE,"pitch","1fdd2764-1b8b-40d4-999a-545aed43c9ac",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.52,1.73,NA,79.64,199.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Trent Grisham strikes out on a foul tip.",0,3,2,68,"bottom",9,"2023-07-26T22:30:47.758Z","2023-07-26T22:33:01.272Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,663757,"Trent Grisham","/api/v1/people/663757","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Pittsburgh Pirates","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",79.6,73.2,14,0.9,0.4744,6.3736,22.9946,-38.406,2.6107,-4.6216,0.9802,1.4432,5.4661,-115.7587,-1.0743,-1.7575,50.004,5.6126,3.5185,6,12,24,2465,44,NA,NA,NA,NA,NA,NA,FALSE,-51.8,-8.3,-6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717246,"2023-07-26",0,"2023-07-26T22:30:53.015Z","2023-07-26T22:30:56.785Z",TRUE,"pitch","ae8c8443-9d46-4de9-a221-daefeb899cbe",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.52,1.73,NA,114,151.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Trent Grisham strikes out on a foul tip.",0,3,2,68,"bottom",9,"2023-07-26T22:30:47.758Z","2023-07-26T22:33:01.272Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,663757,"Trent Grisham","/api/v1/people/663757","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Pittsburgh Pirates","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.6,87.8,2,0.92,0.3886,6.3817,37.2179,-10.3867,-6.0918,10.8686,0.0787,3.2253,7.3486,-141.8214,-4.8415,-1.7741,50.0041,5.6374,-12.2139,42,3.6,24,2397,207,NA,NA,NA,NA,NA,NA,FALSE,-10.6,18.6,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717246,"2023-07-26",1,"2023-07-26T22:30:18.334Z","2023-07-26T22:30:25.812Z",TRUE,"pitch","1bf8c6a2-43d5-4974-861a-ef711f33677e",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,1,NA,NA,3.411,1.565,NA,92.68,165.19,"popup","soft","5",105.15,194.44,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Pop Out","field_out","Taylor Kohlwey pops out softly to third baseman Jared Triolo in foul territory.",0,3,2,67,"bottom",9,"2023-07-26T22:29:56.649Z","2023-07-26T22:30:25.812Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,670128,"Taylor Kohlwey","/api/v1/people/670128","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Loaded",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Pittsburgh Pirates","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.9,87.4,6,0.91,0.3915,6.5817,35.5417,-10.8962,-6.6231,10.7661,0.6379,2.7256,9.203,-140.579,-5.7589,-1.8367,50.0066,5.5262,-13.0953,40.8,3.6,24,2425,212,48.5,76,55,NA,NA,NA,TRUE,-11.3,18.2,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,665742,"Juan Soto","/api/v1/people/665742",630105,"Jake Cronenworth","/api/v1/people/630105",669134,"Luis Campusano","/api/v1/people/669134"
717246,"2023-07-26",0,"2023-07-26T22:30:03.602Z","2023-07-26T22:30:07.670Z",TRUE,"pitch","1ed0820a-70ad-495f-bc95-56aba0d0946c",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.2748,1.6872,NA,96.87,178.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Pop Out","field_out","Taylor Kohlwey pops out softly to third baseman Jared Triolo in foul territory.",0,3,2,67,"bottom",9,"2023-07-26T22:29:56.649Z","2023-07-26T22:30:25.812Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,670128,"Taylor Kohlwey","/api/v1/people/670128","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Loaded",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Pittsburgh Pirates","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",78.4,71.7,6,0.9,0.4823,6.2594,22.927,-37.5511,2.4231,-4.124,0.528,2.2173,4.6561,-114.0016,0.6242,-1.8639,50.0042,5.6767,3.1571,6,12,24,2550,49,NA,NA,NA,NA,NA,NA,FALSE,-51.8,-7,-5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717246,"2023-07-26",5,"2023-07-26T22:29:30.550Z","2023-07-26T22:29:34.285Z",TRUE,"pitch","f0d7766c-b97a-4280-86e3-e0e8d1d95324",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,0,1,NA,NA,3.1377,1.412,NA,67.64,192.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Walk","walk","Juan Soto walks. Xander Bogaerts scores. Luis Campusano to 3rd. Jake Cronenworth to 2nd.",1,3,2,66,"bottom",9,"2023-07-26T22:28:24.315Z","2023-07-26T22:29:34.285Z",TRUE,TRUE,FALSE,FALSE,0,4,0,1,665742,"Juan Soto","/api/v1/people/665742","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Loaded",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Pittsburgh Pirates",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.2,88.8,14,0.9,0.3884,6.7589,31.7819,-11.2184,-7.1466,10.4025,1.2948,1.7179,10.6492,-140.9764,-8.6974,-1.6015,50.0041,5.5655,-14.3993,42,3.6,24,2394,211,NA,NA,NA,NA,NA,NA,FALSE,-12,17.2,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,665742,"Juan Soto","/api/v1/people/665742",630105,"Jake Cronenworth","/api/v1/people/630105",669134,"Luis Campusano","/api/v1/people/669134"
717246,"2023-07-26",4,"2023-07-26T22:29:07.896Z","2023-07-26T22:29:11.144Z",TRUE,"pitch","859c70d7-24f3-40a3-9589-48c63595f9c5",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,1,NA,NA,3.0921,1.412,NA,67.19,184.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Walk","walk","Juan Soto walks. Xander Bogaerts scores. Luis Campusano to 3rd. Jake Cronenworth to 2nd.",1,3,2,66,"bottom",9,"2023-07-26T22:28:24.315Z","2023-07-26T22:29:34.285Z",TRUE,TRUE,FALSE,FALSE,0,4,0,1,665742,"Juan Soto","/api/v1/people/665742","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Loaded",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Pittsburgh Pirates",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.1,88.8,14,0.9,0.3886,6.549,31.7129,-11.4314,-7.0483,10.3109,1.3068,2.0049,10.6002,-140.8868,-8.0201,-1.5871,50.0065,5.6257,-14.1855,42,3.6,24,2477,208,NA,NA,NA,NA,NA,NA,FALSE,-12,17.2,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
